/Users/tom.wattley/Code/Projects/racing-api-project/racing-etl/src/pipelines/matching_pipeline.py:3: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Course ID: 56
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Found match for horse grandlad on 2024-03-22
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Found match for horse grandlad on 2024-03-22 except trainer
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - 8/10
2024-03-25T15:48:11Z - INFO     logging_config.py:19 - Entity name: arnaman
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Matching horse arnaman on 2024-03-22
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Course ID: 23
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Found match for horse arnaman on 2024-03-22
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Found match for horse arnaman on 2024-03-22 except trainer
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - 9/10
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Entity name: marisangel
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Matching horse marisangel on 2024-03-22
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Course ID: 47
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Found match for horse marisangel on 2024-03-22
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Found match for horse marisangel on 2024-03-22 except trainer
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Found 10 matches
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Truncating staging.horse
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Executing query: TRUNCATE TABLE staging.horse
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Query executed. Number of rows affected: -1
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Storing 10 records in staging.horse
2024-03-25T15:48:12Z - INFO     logging_config.py:19 - Matching sires
2024-03-25T15:49:01Z - INFO     logging_config.py:19 - Query SELECT * FROM rp_raw.unmatched_sires 
		 | returned 1 records |
2024-03-25T15:49:01Z - INFO     logging_config.py:19 - Found 1 unique sires
2024-03-25T15:49:01Z - INFO     logging_config.py:19 - Matching sires
2024-03-25T15:49:17Z - INFO     logging_config.py:19 - 0/1
2024-03-25T15:49:17Z - INFO     logging_config.py:19 - Entity name: mrowen
2024-03-25T15:49:17Z - INFO     logging_config.py:19 - Matching sire mrowen on 2024-03-22
2024-03-25T15:49:17Z - INFO     logging_config.py:19 - Course ID: 47
2024-03-25T15:49:17Z - INFO     logging_config.py:19 - Found match for sire mrowen on 2024-03-22
2024-03-25T15:49:17Z - INFO     logging_config.py:19 - Found 1 matches
2024-03-25T15:49:18Z - INFO     logging_config.py:19 - Truncating staging.sire
2024-03-25T15:49:18Z - INFO     logging_config.py:19 - Executing query: TRUNCATE TABLE staging.sire
2024-03-25T15:49:18Z - INFO     logging_config.py:19 - Query executed. Number of rows affected: -1
2024-03-25T15:49:18Z - INFO     logging_config.py:19 - Storing 1 records in staging.sire
2024-03-25T15:49:18Z - INFO     logging_config.py:19 - Matching dams
2024-03-25T15:49:54Z - INFO     logging_config.py:19 - Query SELECT * FROM rp_raw.unmatched_dams 
		 | returned 3 records |
2024-03-25T15:49:54Z - INFO     logging_config.py:19 - Found 3 unique dams
2024-03-25T15:49:54Z - INFO     logging_config.py:19 - Matching dams
2024-03-25T15:50:04Z - INFO     logging_config.py:19 - 0/3
2024-03-25T15:50:04Z - INFO     logging_config.py:19 - Entity name: princesspalliser
2024-03-25T15:50:04Z - INFO     logging_config.py:19 - Matching dam princesspalliser on 2024-03-22
2024-03-25T15:50:04Z - INFO     logging_config.py:19 - Course ID: 56
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Found match for dam princesspalliser on 2024-03-22
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - 1/3
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Entity name: muchbetter
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Matching dam muchbetter on 2024-03-22
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Course ID: 47
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Found match for dam muchbetter on 2024-03-22
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - 2/3
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Entity name: tralongbay
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Matching dam tralongbay on 2024-03-22
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Course ID: 56
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Found match for dam tralongbay on 2024-03-22
2024-03-25T15:50:05Z - INFO     logging_config.py:19 - Found 3 matches
